City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
84,hlukhiv,51.6782,33.9162,58.01,74,39,8.32,UA,1659324400
85,fortuna,40.5982,-124.1573,62.98,88,100,8.05,US,1659324401
86,kautokeino,69.0125,23.0412,50.74,87,69,2.66,NO,1659324401
87,iqaluit,63.7506,-68.5145,45.43,74,80,2.28,CA,1659324402
88,herat,34.5,62.0,80.42,22,0,20.65,AF,1659324402
89,chokurdakh,70.6333,147.9167,73.24,42,97,12.88,RU,1659324403
90,srednekolymsk,67.45,153.6833,79.03,32,82,13.65,RU,1659324403
91,deputatskiy,69.3,139.9,73.58,54,99,13.65,RU,1659324403
92,tolmachevo,54.9824,82.7363,67.98,88,100,4.47,RU,1659324404
93,half moon bay,37.4636,-122.4286,71.02,83,100,14.97,US,1659324268
94,virginia beach,36.8529,-75.978,76.01,95,75,3.44,US,1659324404
95,tasiilaq,65.6145,-37.6368,41.16,56,5,3.85,GL,1659324405
96,natal,-5.795,-35.2094,77.22,94,75,5.75,BR,1659324155
97,rio grande,-32.035,-52.0986,53.71,94,9,5.99,BR,1659324316
98,kapaa,22.0752,-159.319,87.78,67,40,17.27,US,1659324405
99,pueblo,38.2545,-104.6091,82.62,36,0,5.75,US,1659324179
100,mayskiy,47.6931,40.1025,72.81,61,22,10.04,RU,1659324406
101,bundaberg,-24.85,152.35,71.22,66,100,4.0,AU,1659324406
102,dunedin,-45.8742,170.5036,50.81,68,73,4.72,NZ,1659324407
103,adrar,20.5022,-10.0711,88.68,44,13,12.66,MR,1659324407
104,bauchi,10.5,10.0,72.64,78,100,4.29,NG,1659324407
105,lingsugur,16.1667,76.5167,83.21,62,82,11.48,IN,1659324408
106,carandai,-20.9536,-43.8064,54.77,96,0,4.59,BR,1659324408
107,labuhan,-6.8844,112.2051,83.46,66,73,6.44,ID,1659324409
108,yellowknife,62.456,-114.3525,63.12,48,20,4.61,CA,1659324308
109,qui nhon,13.7667,109.2333,85.01,68,100,4.43,VN,1659324236
110,saldanha,-33.0117,17.9442,37.45,80,0,12.37,ZA,1659324409
111,banda aceh,5.5577,95.3222,83.19,71,100,10.22,ID,1659324410
112,almaznyy,48.0448,40.045,68.27,68,2,9.01,RU,1659324410
113,cabo san lucas,22.8909,-109.9124,85.51,80,27,1.99,MX,1659324360
114,vestmannaeyjar,63.4427,-20.2734,49.05,78,68,17.09,IS,1659324411
115,kisangani,0.5167,25.2,69.15,99,100,0.56,CD,1659324411
116,champerico,14.3,-91.9167,76.82,85,100,8.72,GT,1659324411
117,whitianga,-36.8333,175.7,58.42,57,19,6.67,NZ,1659324412
118,ossora,59.2353,163.0719,58.82,73,39,11.86,RU,1659324412
119,hobart,-42.8794,147.3294,55.26,59,40,19.57,AU,1659324413
120,odienne,9.51,-7.5692,69.55,97,88,3.56,CI,1659324413
121,tanout,14.9709,8.8879,77.02,67,17,7.54,NE,1659324413
122,berlevag,70.8578,29.0864,57.2,90,47,3.51,NO,1659324414
123,barrow,71.2906,-156.7887,35.62,87,100,11.5,US,1659324414
124,hasaki,35.7333,140.8333,100.29,65,75,7.29,JP,1659324415
125,acarau,-2.8856,-40.12,77.13,86,1,12.88,BR,1659324415
126,lompoc,34.6391,-120.4579,77.14,81,20,6.91,US,1659324369
127,imbituba,-28.24,-48.6703,53.1,99,89,9.93,BR,1659324416
128,maceio,-9.6658,-35.7353,74.64,88,20,1.14,BR,1659324416
129,marawi,7.9986,124.2928,82.36,56,100,2.86,PH,1659324416
130,ilulissat,69.2167,-51.1,55.42,38,72,17.27,GL,1659324417
131,andenes,69.3143,16.1194,55.92,88,100,0.0,NO,1659324417
132,bowling green,36.9903,-86.4436,76.93,91,100,5.75,US,1659324131
133,hilo,19.7297,-155.09,80.33,69,100,11.5,US,1659324418
134,baoding,38.8511,115.4903,89.73,58,0,3.85,CN,1659324418
135,cheremshan,54.6667,51.5,65.3,85,96,4.7,RU,1659324419
136,kruisfontein,-34.0033,24.7314,44.87,81,0,5.93,ZA,1659324419
137,leningradskiy,69.3833,178.4167,51.26,65,58,10.22,RU,1659324419
138,meulaboh,4.1363,96.1285,81.57,76,100,5.7,ID,1659324420
